538,538,509,343,291,216,189,189,189,248,745,815,814,821,821,821,721,356,350,345,336,335,335,335,336,344,356,364,364,364,570,809,815,825,831,831,821,431,409,407,407,407,407,459,482,485,492,494,494,451,424,411,403,403,443,467,510,534,536,536,518,517,515,508,510,510,510,522,551,558,571,589,589,589,589,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,612,31,71,76,76,78,78,78,83,229,267,268,251,247,247,282,462,467,487,521,522,522,505,324,314,301,275,275,275,212,182,171,151,137,137,137,257,243,210,197,197,197,315,427,456,479,479,479,350,290,282,276,276,269,264,228,185,182,182,341,474,510,572,605,607,607,263,110,96,74,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,589,589,503,211,187,174,168,168,251,732,756,762,795,796,796,796,587,456,422,361,323,322,322,322,349,371,369,367,364,364,372,592,731,749,829,838,838,838,765,519,462,429,407,407,407,439,461,463,479,511,512,512,472,422,407,391,389,398,472,510,527,535,536,536,497,482,479,479,501,501,501,515,587,584,568,552,552,552,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,34,29,105,102,92,89,89,102,295,305,290,261,259,259,259,336,411,443,502,542,542,542,542,449,332,317,268,263,263,261,184,169,176,152,147,147,147,190,261,212,184,176,176,176,244,389,457,484,494,494,494,430,338,317,274,268,265,241,231,212,194,191,205,479,558,577,596,608,608,608,494,129,85,71,36,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,552,491,267,197,183,177,177,524,852,845,845,845,845,844,609,439,385,362,341,337,337,348,367,349,343,343,343,365,830,903,891,830,828,828,804,511,438,424,423,423,442,525,489,487,492,497,497,488,402,390,390,390,470,509,529,542,542,496,479,479,489,498,501,501,505,517,511,507,518,518,518,529,529,529,536,559,559,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,31,104,89,79,77,77,91,212,236,236,236,236,236,298,385,439,492,525,525,525,474,344,308,276,270,270,265,167,157,150,127,125,125,131,211,197,179,177,177,183,299,430,442,472,487,487,467,269,256,256,256,230,230,219,178,178,368,529,532,577,630,635,635,522,302,172,65,31,31,31,32,34,32,31,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,559,468,238,207,176,167,167,167,692,789,789,802,805,805,754,549,474,421,352,317,317,323,449,450,405,375,375,375,563,675,758,785,838,839,839,682,588,484,470,432,410,410,417,495,502,515,518,518,501,448,430,398,395,399,485,499,529,537,537,537,537,534,519,517,517,517,522,522,541,574,574,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,43,141,129,96,90,90,90,252,308,299,244,238,238,251,357,399,437,507,544,544,527,308,271,261,261,261,261,222,178,161,162,147,145,145,237,289,179,169,174,177,177,195,458,482,482,482,482,447,288,271,269,268,268,259,251,215,196,196,227,439,524,588,601,601,441,76,52,45,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,574,574,264,211,190,174,168,168,476,655,728,805,807,808,808,717,392,316,303,301,337,342,342,342,342,343,361,363,362,362,362,444,856,870,868,844,844,844,810,536,491,463,416,416,416,431,481,489,502,516,517,517,484,414,395,392,392,434,504,542,550,550,550,550,488,470,468,475,491,491,491,491,482,428,430,441,441,441,441,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,30,68,56,50,55,58,58,72,129,187,251,251,251,251,251,256,372,457,465,507,516,516,516,516,468,303,279,265,264,264,238,150,143,132,124,124,124,131,196,189,179,171,171,171,230,408,429,439,467,469,469,411,284,270,270,270,262,247,211,169,169,169,170,522,623,632,636,629,629,629,629,604,243,32,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
